Hand,Fold,Raise2.3,Allin100
22,0,0,-1.19
32o,0,-0.2,-1.65
32s,0,-0.14,-1.27
33,0,0,-1.15
42o,0,-0.19,-1.61
42s,0,-0.12,-1.24
43o,0,-0.14,-1.46
43s,0,-0.08,-1.1
44,0,0,-1.11
52o,0,-0.17,-1.57
52s,0,-0.1,-1.21
53o,0,-0.12,-1.42
53s,0,-0.05,-1.06
54o,0,-0.09,-1.26
54s,0,0,-0.92
55,0,0.04,-1.07
62o,0,-0.2,-1.68
62s,0,-0.13,-1.31
63o,0,-0.15,-1.53
63s,0,-0.08,-1.17
64o,0,-0.1,-1.38
64s,0,-0.03,-1.02
65o,0,-0.08,-1.22
65s,0,0,-0.88
66,0,0.09,-1.05
72o,0,-0.24,-1.81
72s,0,-0.17,-1.43
73o,0,-0.19,-1.66
73s,0,-0.12,-1.29
74o,0,-0.15,-1.5
74s,0,-0.07,-1.14
75o,0,-0.1,-1.35
75s,0,-0.03,-1
76o,0,-0.08,-1.23
76s,0,0,-0.88
77,0,0.13,-1.06
82o,0,-0.23,-1.78
82s,0,-0.15,-1.4
83o,0,-0.21,-1.78
83s,0,-0.14,-1.4
84o,0,-0.17,-1.62
84s,0,-0.1,-1.26
85o,0,-0.13,-1.47
85s,0,-0.05,-1.11
86o,0,-0.08,-1.35
86s,0,0,-1
87o,0,-0.07,-1.24
87s,0,0,-0.89
88,0,0.17,-1.06
92o,0,-0.2,-1.79
92s,0,-0.12,-1.41
93o,0,-0.18,-1.75
93s,0,-0.1,-1.38
94o,0,-0.17,-1.75
94s,0,-0.1,-1.37
95o,0,-0.13,-1.6
95s,0,-0.06,-1.23
96o,0,-0.09,-1.47
96s,0,-0.01,-1.11
97o,0,-0.07,-1.35
97s,0,0,-1
98o,0,-0.05,-1.27
98s,0,0.03,-0.92
99,0,0.28,-1.06
A2o,0,-0.05,-0.39
A2s,0,0.08,-0.1
A3o,0,-0.02,-0.36
A3s,0,0.1,-0.07
A4o,0,-0.01,-0.33
A4s,0,0.11,-0.04
A5o,0,0,-0.3
A5s,0,0.12,-0.02
A6o,0,-0.01,-0.41
A6s,0,0.12,-0.11
A7o,0,0,-0.39
A7s,0,0.12,-0.1
A8o,0,0,-0.39
A8s,0,0.12,-0.1
A9o,0,0.03,-0.4
A9s,0,0.15,-0.11
AA,0,9.31,3.21
AJo,0,0.21,-0.29
AJs,0,0.56,-0.01
AKo,0,1.63,0.43
AKs,0,2.27,0.65
AQo,0,0.34,-0.05
AQs,0,0.86,0.2
ATo,0,0.14,-0.3
ATs,0,0.32,-0.02
J2o,0,-0.14,-1.81
J2s,0,-0.05,-1.43
J3o,0,-0.12,-1.77
J3s,0,-0.03,-1.4
J4o,0,-0.1,-1.73
J4s,0,-0.02,-1.36
J5o,0,-0.09,-1.7
J5s,0,-0.01,-1.33
J6o,0,-0.08,-1.72
J6s,0,0,-1.35
J7o,0,-0.07,-1.61
J7s,0,0.01,-1.24
J8o,0,-0.04,-1.51
J8s,0,0.04,-1.15
J9o,0,0,-1.44
J9s,0,0.09,-1.08
JJ,0,1.61,-1.04
JTo,0,0.04,-1.39
JTs,0,0.13,-1.03
K2o,0,-0.11,-1.02
K2s,0,0,-0.7
K3o,0,-0.09,-0.99
K3s,0,0.01,-0.67
K4o,0,-0.08,-0.96
K4s,0,0.03,-0.64
K5o,0,-0.06,-0.93
K5s,0,0.04,-0.61
K6o,0,-0.04,-0.92
K6s,0,0.06,-0.61
K7o,0,-0.04,-0.93
K7s,0,0.06,-0.61
K8o,0,-0.04,-0.94
K8s,0,0.06,-0.63
K9o,0,0,-0.86
K9s,0,0.1,-0.55
KJo,0,0.12,-0.8
KJs,0,0.34,-0.49
KK,0,6.1,1.2
KQo,0,0.16,-0.58
KQs,0,0.47,-0.31
KTo,0,0.06,-0.79
KTs,0,0.23,-0.48
Q2o,0,-0.13,-1.5
Q2s,0,-0.03,-1.16
Q3o,0,-0.11,-1.47
Q3s,0,-0.01,-1.12
Q4o,0,-0.09,-1.44
Q4s,0,0,-1.09
Q5o,0,-0.09,-1.41
Q5s,0,0,-1.06
Q6o,0,-0.07,-1.4
Q6s,0,0.01,-1.06
Q7o,0,-0.08,-1.43
Q7s,0,0.01,-1.08
Q8o,0,-0.06,-1.32
Q8s,0,0.03,-0.98
Q9o,0,-0.01,-1.24
Q9s,0,0.07,-0.91
QJo,0,0.09,-1.2
QJs,0,0.18,-0.87
QQ,0,3.49,-0.42
QTo,0,0.04,-1.18
QTs,0,0.13,-0.85
T2o,0,-0.18,-1.78
T2s,0,-0.1,-1.41
T3o,0,-0.16,-1.75
T3s,0,-0.08,-1.37
T4o,0,-0.14,-1.71
T4s,0,-0.07,-1.34
T5o,0,-0.14,-1.71
T5s,0,-0.06,-1.34
T6o,0,-0.1,-1.58
T6s,0,-0.03,-1.22
T7o,0,-0.08,-1.46
T7s,0,0,-1.11
T8o,0,-0.05,-1.36
T8s,0,0.02,-1.01
T9o,0,-0.01,-1.29
T9s,0,0.07,-0.95
TT,0,0.61,-1.04
