Hand,Fold,Call,Raise13.1,Allin100
22,0,-0.12,-0.63,-7.43
32o,0,-1.75,-1.24,-10.52
32s,0,-0.87,-0.86,-8.35
33,0,-0.16,-0.59,-7.36
42o,0,-1.62,-1.16,-10.28
42s,0,-0.73,-0.76,-8.15
43o,0,-1.33,-1,-9.45
43s,0,-0.41,-0.59,-7.37
44,0,-0.18,-0.45,-7.13
52o,0,-1.58,-1.09,-10.09
52s,0,-0.65,-0.68,-7.97
53o,0,-1.19,-0.89,-9.24
53s,0,-0.26,-0.48,-7.17
54o,0,-0.95,-0.66,-8.3
54s,0,-0.01,-0.24,-6.27
55,0,-0.12,-0.22,-6.97
62o,0,-1.9,-1.21,-10.42
62s,0,-0.99,-0.8,-8.28
63o,0,-1.52,-1.01,-9.56
63s,0,-0.58,-0.59,-7.48
64o,0,-1.15,-0.75,-8.63
64s,0,-0.21,-0.34,-6.59
65o,0,-0.96,-0.55,-7.73
65s,0,-0.01,-0.12,-5.75
66,0,0,-0.12,-6.16
72o,0,-2.23,-1.4,-11.33
72s,0,-1.32,-1.01,-9.14
73o,0,-1.89,-1.2,-10.5
73s,0,-0.94,-0.81,-8.34
74o,0,-1.54,-0.98,-9.56
74s,0,-0.59,-0.57,-7.45
75o,0,-1.25,-0.76,-8.65
75s,0,-0.29,-0.33,-6.59
76o,0,-1.02,-0.61,-7.68
76s,0,-0.06,-0.19,-5.71
77,0,0,-0.06,-5.73
82o,0,-2.15,-1.35,-11.21
82s,0,-1.23,-0.94,-9.01
83o,0,-2.13,-1.36,-11.33
83s,0,-1.2,-0.98,-9.13
84o,0,-1.84,-1.16,-10.39
84s,0,-0.89,-0.75,-8.23
85o,0,-1.52,-0.92,-9.49
85s,0,-0.57,-0.5,-7.38
86o,0,-1.21,-0.74,-8.5
86s,0,-0.25,-0.32,-6.48
87o,0,-1.13,-0.66,-7.99
87s,0,-0.15,-0.24,-5.97
88,0,0,0,-5.78
92o,0,-2.12,-1.36,-11.48
92s,0,-1.21,-0.96,-9.24
93o,0,-2.07,-1.33,-11.34
93s,0,-1.12,-0.95,-9.12
94o,0,-2.08,-1.3,-11.34
94s,0,-1.14,-0.92,-9.12
95o,0,-1.82,-1.11,-10.44
95s,0,-0.86,-0.71,-8.27
96o,0,-1.46,-0.93,-9.46
96s,0,-0.49,-0.51,-7.36
97o,0,-1.28,-0.81,-8.89
97s,0,-0.3,-0.39,-6.8
98o,0,-1.19,-0.72,-8.58
98s,0,-0.18,-0.29,-6.51
99,0,-0.01,0,-6.09
A2o,0,-1.6,-0.89,-5.57
A2s,0,-0.41,-0.26,-3.51
A3o,0,-1.49,-0.81,-5.44
A3s,0,-0.29,-0.17,-3.31
A4o,0,-1.39,-0.69,-5.23
A4s,0,-0.17,-0.06,-3.1
A5o,0,-1.28,-0.59,-5.04
A5s,0,-0.05,0,-2.93
A6o,0,-1.54,-0.7,-5.61
A6s,0,-0.33,-0.09,-3.57
A7o,0,-1.52,-0.67,-5.49
A7s,0,-0.3,-0.01,-3.37
A8o,0,-1.52,-0.66,-5.58
A8s,0,-0.29,0,-3.46
A9o,0,-1.54,-0.68,-5.81
A9s,0,-0.31,-0.01,-3.65
AA,0,26.32,28.84,23.64
AJo,0,-1.2,-0.53,-4.97
AJs,0,0,0.01,-2.87
AKo,0,0.23,0.24,0.16
AKs,0,1.95,1.96,1.81
AQo,0,-0.57,0,-3.31
AQs,0,0.47,0.48,-1.35
ATo,0,-1.21,-0.58,-5.02
ATs,0,-0.01,0,-2.92
J2o,0,-2.24,-1.63,-11.39
J2s,0,-1.3,-1.23,-9.12
J3o,0,-2.19,-1.58,-11.27
J3s,0,-1.23,-1.19,-9.02
J4o,0,-2.14,-1.5,-11.04
J4s,0,-1.16,-1.1,-8.79
J5o,0,-2.08,-1.43,-10.86
J5s,0,-1.11,-1.03,-8.63
J6o,0,-2,-1.41,-10.75
J6s,0,-1.02,-1.02,-8.54
J7o,0,-1.87,-1.31,-10.11
J7s,0,-0.89,-0.92,-7.91
J8o,0,-1.67,-1.18,-9.63
J8s,0,-0.68,-0.78,-7.45
J9o,0,-1.51,-1.17,-9.44
J9s,0,-0.5,-0.75,-7.25
JJ,0,0.01,0.01,-3.38
JTo,0,-1.18,-1.16,-8.81
JTs,0,-0.14,-0.76,-6.67
K2o,0,-1.88,-0.98,-7.88
K2s,0,-0.83,-0.43,-5.76
K3o,0,-1.82,-0.91,-7.77
K3s,0,-0.75,-0.37,-5.65
K4o,0,-1.76,-0.82,-7.55
K4s,0,-0.69,-0.29,-5.45
K5o,0,-1.67,-0.72,-7.38
K5s,0,-0.6,-0.18,-5.29
K6o,0,-1.52,-0.65,-7.03
K6s,0,-0.45,-0.11,-4.95
K7o,0,-1.59,-0.7,-7.1
K7s,0,-0.52,-0.17,-5.02
K8o,0,-1.62,-0.72,-7.26
K8s,0,-0.54,-0.19,-5.19
K9o,0,-1.56,-0.68,-7.05
K9s,0,-0.46,-0.12,-4.93
KJo,0,-1.14,-0.54,-6.25
KJs,0,-0.07,-0.01,-4.12
KK,0,11.9,11.92,11.85
KQo,0,-0.76,-0.21,-4.56
KQs,0,0.18,0.19,-2.67
KTo,0,-1.1,-0.54,-6.2
KTs,0,-0.04,0,-4.13
Q2o,0,-2.11,-1.48,-9.76
Q2s,0,-1.16,-1.09,-7.59
Q3o,0,-2.05,-1.44,-9.66
Q3s,0,-1.08,-1.06,-7.5
Q4o,0,-1.98,-1.34,-9.43
Q4s,0,-1.01,-0.96,-7.28
Q5o,0,-1.93,-1.27,-9.27
Q5s,0,-0.95,-0.88,-7.13
Q6o,0,-1.81,-1.21,-8.93
Q6s,0,-0.83,-0.83,-6.82
Q7o,0,-1.89,-1.27,-9.15
Q7s,0,-0.91,-0.89,-7.01
Q8o,0,-1.79,-1.19,-8.61
Q8s,0,-0.82,-0.8,-6.51
Q9o,0,-1.69,-1.15,-8.34
Q9s,0,-0.69,-0.76,-6.24
QJo,0,-1.31,-1.14,-7.67
QJs,0,-0.31,-0.74,-5.5
QQ,0,2.15,2.15,1.91
QTo,0,-1.23,-1.09,-7.6
QTs,0,-0.21,-0.69,-5.49
T2o,0,-2.12,-1.46,-11.14
T2s,0,-1.16,-1.06,-8.93
T3o,0,-2.06,-1.43,-11.01
T3s,0,-1.08,-1.04,-8.82
T4o,0,-2.03,-1.36,-10.78
T4s,0,-1.05,-0.96,-8.61
T5o,0,-2,-1.32,-10.83
T5s,0,-1.03,-0.93,-8.63
T6o,0,-1.73,-1.14,-9.81
T6s,0,-0.73,-0.74,-7.69
T7o,0,-1.5,-1.03,-9.18
T7s,0,-0.49,-0.62,-7.08
T8o,0,-1.29,-0.9,-8.72
T8s,0,-0.28,-0.48,-6.63
T9o,0,-1.14,-0.9,-8.54
T9s,0,-0.11,-0.47,-6.45
TT,0,-0.01,0,-5.06
