Hand,Fold,Raise24.1,Allin100
22,0,-0.72,-6.27
32o,0,-2.74,-10.74
32s,0,-1.53,-7.97
33,0,-0.65,-6.08
42o,0,-2.71,-10.46
42s,0,-1.4,-7.69
43o,0,-2.21,-9.13
43s,0,-0.91,-6.46
44,0,-0.7,-5.76
52o,0,-2.56,-10.18
52s,0,-1.25,-7.25
53o,0,-2.05,-8.86
53s,0,-0.83,-6.21
54o,0,-1.62,-7.61
54s,0,-0.15,-4.77
55,0,-0.64,-5.56
62o,0,-3.07,-10.99
62s,0,-1.84,-8.21
63o,0,-2.58,-9.64
63s,0,-1.33,-7.03
64o,0,-2.08,-8.39
64s,0,-0.72,-5.73
65o,0,-1.62,-7.17
65s,0,-0.21,-4.54
66,0,-0.47,-5.28
72o,0,-3.79,-12.29
72s,0,-2.4,-9.46
73o,0,-3.26,-11.08
73s,0,-1.93,-8.33
74o,0,-2.77,-9.83
74s,0,-1.45,-6.97
75o,0,-2.26,-8.55
75s,0,-0.89,-5.84
76o,0,-1.89,-7.39
76s,0,-0.77,-4.96
77,0,-0.31,-4.81
82o,0,-3.43,-12.13
82s,0,-2.15,-9.23
83o,0,-3.44,-12.2
83s,0,-2.26,-9.45
84o,0,-3.11,-10.97
84s,0,-1.65,-8.02
85o,0,-2.63,-9.79
85s,0,-1.32,-6.91
86o,0,-2.18,-8.66
86s,0,-0.78,-5.95
87o,0,-1.88,-8.07
87s,0,-0.55,-5.42
88,0,-0.28,-4.87
92o,0,-3.46,-12.7
92s,0,-2.23,-9.77
93o,0,-3.41,-12.35
93s,0,-2.15,-9.54
94o,0,-3.63,-12.45
94s,0,-2.23,-9.42
95o,0,-3.12,-11.19
95s,0,-1.72,-8.19
96o,0,-2.67,-10.15
96s,0,-1.28,-7.14
97o,0,-2.23,-9.31
97s,0,-0.97,-6.52
98o,0,-2.18,-9.16
98s,0,-0.82,-6.25
99,0,-0.17,-5.51
A2o,0,-2.08,-6.25
A2s,0,-0.56,-3.24
A3o,0,-1.94,-5.8
A3s,0,-0.58,-2.92
A4o,0,-1.93,-5.54
A4s,0,-0.49,-2.65
A5o,0,-1.77,-5.29
A5s,0,-0.37,-2.47
A6o,0,-2.49,-6.49
A6s,0,-0.98,-3.64
A7o,0,-2.33,-6.27
A7s,0,-0.95,-3.6
A8o,0,-2.25,-6.46
A8s,0,-0.86,-3.51
A9o,0,-2.66,-7.09
A9s,0,-1.1,-4.09
AA,0,38.27,36.2
AJo,0,-3.78,-7.82
AJs,0,-1.93,-4.51
AKo,0,2.13,2.2
AKs,0,4.52,4.5
AQo,0,-1.76,-3.18
AQs,0,-0.01,-0.08
ATo,0,-2.75,-6.67
ATs,0,-1.01,-3.5
J2o,0,-4.47,-14.29
J2s,0,-3.12,-11.33
J3o,0,-4.55,-14.24
J3s,0,-3.12,-10.95
J4o,0,-4.51,-13.78
J4s,0,-3.12,-10.61
J5o,0,-4.51,-13.54
J5s,0,-3.11,-10.46
J6o,0,-4.43,-13.62
J6s,0,-3.06,-11
J7o,0,-4.03,-12.77
J7s,0,-2.68,-9.93
J8o,0,-3.94,-12.39
J8s,0,-2.51,-9.5
J9o,0,-3.9,-12.44
J9s,0,-2.41,-9.52
JJ,0,-0.91,-6.02
JTo,0,-4,-12.3
JTs,0,-2.44,-9.17
K2o,0,-2.46,-7.87
K2s,0,-1,-4.95
K3o,0,-2.38,-7.59
K3s,0,-0.89,-4.68
K4o,0,-2.46,-7.33
K4s,0,-0.89,-4.6
K5o,0,-2.27,-6.94
K5s,0,-0.86,-4.35
K6o,0,-1.97,-6.84
K6s,0,-0.66,-4.08
K7o,0,-2.03,-7.01
K7s,0,-0.68,-4.25
K8o,0,-2.04,-7.25
K8s,0,-0.66,-4.37
K9o,0,-2.13,-7.22
K9s,0,-0.72,-4.33
KJo,0,-3.08,-7.83
KJs,0,-1.5,-4.74
KK,0,22.42,22.82
KQo,0,-1.25,-3.26
KQs,0,0.08,-0.77
KTo,0,-2.12,-6.81
KTs,0,-0.63,-4
Q2o,0,-2.75,-9.72
Q2s,0,-1.45,-6.86
Q3o,0,-2.84,-9.55
Q3s,0,-1.52,-6.75
Q4o,0,-2.78,-9.27
Q4s,0,-1.62,-6.52
Q5o,0,-2.73,-9.04
Q5s,0,-1.38,-6.33
Q6o,0,-2.5,-8.78
Q6s,0,-1.15,-6
Q7o,0,-2.65,-9.11
Q7s,0,-1.38,-6.62
Q8o,0,-2.37,-8.5
Q8s,0,-1.18,-5.8
Q9o,0,-2.36,-8.3
Q9s,0,-1.14,-5.71
QJo,0,-3.17,-8.89
QJs,0,-1.7,-6.04
QQ,0,5.43,5.46
QTo,0,-2.26,-7.96
QTs,0,-0.89,-5.2
T2o,0,-3.62,-12.99
T2s,0,-2.17,-10
T3o,0,-3.6,-12.69
T3s,0,-2.27,-9.73
T4o,0,-3.67,-12.53
T4s,0,-2.19,-9.42
T5o,0,-3.68,-12.51
T5s,0,-2.18,-9.43
T6o,0,-3.19,-11.29
T6s,0,-1.78,-8.29
T7o,0,-2.84,-10.45
T7s,0,-1.47,-7.53
T8o,0,-2.58,-10.06
T8s,0,-1.25,-7.17
T9o,0,-2.57,-10.09
T9s,0,-1.35,-7.33
TT,0,-0.15,-5.28
