Hand,Fold,Call,Raise22.9,Allin100
22,0,1.72,0.16,-5.56
32o,0,-0.98,-2.24,-10.45
32s,0,-0.01,-0.91,-7.69
33,0,1.48,0.19,-5.26
42o,0,-0.85,-2.12,-10.13
42s,0,0.12,-0.74,-7.38
43o,0,-0.55,-1.59,-8.96
43s,0,0.5,-0.21,-6.2
44,0,1.13,0.2,-4.94
52o,0,-0.87,-2.15,-9.9
52s,0,0.2,-0.73,-7.08
53o,0,-0.36,-1.55,-8.7
53s,0,0.77,-0.11,-6
54o,0,-0.1,-1.04,-7.48
54s,0,1.07,0.39,-4.75
55,0,0.59,0.17,-4.71
62o,0,-1.19,-2.5,-10.96
62s,0,-0.23,-1.11,-8.2
63o,0,-0.76,-1.94,-9.73
63s,0,0.32,-0.53,-7
64o,0,-0.32,-1.38,-8.52
64s,0,0.8,0,-5.85
65o,0,-0.11,-0.96,-7.28
65s,0,1.08,0.54,-4.6
66,0,0.58,0.55,-4.58
72o,0,-1.64,-3.44,-12.19
72s,0,-0.66,-1.93,-9.35
73o,0,-1.3,-2.83,-10.99
73s,0,-0.26,-1.33,-8.15
74o,0,-0.9,-2.24,-9.78
74s,0,0.22,-0.74,-7.02
75o,0,-0.49,-1.72,-8.51
75s,0,0.64,-0.28,-5.9
76o,0,-0.33,-1.22,-7.64
76s,0,0.81,0.23,-5.04
77,0,0.54,0.42,-4.82
82o,0,-1.58,-3.1,-11.96
82s,0,-0.55,-1.66,-9.12
83o,0,-1.62,-3.21,-11.99
83s,0,-0.62,-1.74,-9.22
84o,0,-1.44,-2.72,-10.83
84s,0,-0.35,-1.17,-8.04
85o,0,-1.01,-2.18,-9.61
85s,0,0.09,-0.67,-6.78
86o,0,-0.65,-1.55,-8.67
86s,0,0.45,-0.14,-6.08
87o,0,-0.68,-1.26,-8.05
87s,0,0.48,0.2,-5.42
88,0,0.41,0.38,-4.94
92o,0,-1.51,-3.1,-12.41
92s,0,-0.52,-1.69,-9.51
93o,0,-1.5,-3.11,-12.18
93s,0,-0.46,-1.72,-9.25
94o,0,-1.62,-3.35,-12.2
94s,0,-0.55,-1.84,-9.29
95o,0,-1.48,-2.85,-10.98
95s,0,-0.35,-1.3,-8.1
96o,0,-1.06,-2.14,-10.04
96s,0,0.02,-0.73,-7.31
97o,0,-0.81,-1.78,-9.29
97s,0,0.36,-0.3,-6.58
98o,0,-1.11,-1.63,-9.07
98s,0,0.01,-0.2,-6.33
99,0,0.3,0.21,-5.35
A2o,0,-1.46,-1.72,-5.54
A2s,0,-0.01,-0.2,-2.66
A3o,0,-1.45,-1.68,-5.26
A3s,0,-0.01,-0.1,-2.36
A4o,0,-1.47,-1.64,-4.9
A4s,0,0,-0.09,-2.15
A5o,0,-1.5,-1.62,-4.7
A5s,0,0.01,-0.03,-1.92
A6o,0,-1.8,-2.04,-5.94
A6s,0,-0.29,-0.45,-3.06
A7o,0,-1.82,-2.02,-5.92
A7s,0,-0.31,-0.42,-2.95
A8o,0,-1.86,-2.02,-5.94
A8s,0,-0.4,-0.46,-3.11
A9o,0,-2.02,-2.48,-6.43
A9s,0,-0.53,-0.86,-3.41
AA,0,24.75,37.81,36.26
AJo,0,-1.68,-3.04,-7.32
AJs,0,-0.07,-1.17,-4.03
AKo,0,2.09,4.05,4.15
AKs,0,3.4,6.18,6.25
AQo,0,-0.5,-0.49,-2.04
AQs,0,0.94,0.95,0.84
ATo,0,-1.91,-2.44,-6.1
ATs,0,-0.41,-0.8,-3.25
J2o,0,-1.84,-3.75,-14.08
J2s,0,-0.72,-2.19,-11.02
J3o,0,-1.83,-3.79,-13.82
J3s,0,-0.73,-2.21,-10.71
J4o,0,-1.86,-3.85,-13.6
J4s,0,-0.7,-2.25,-10.49
J5o,0,-1.8,-3.91,-13.3
J5s,0,-0.7,-2.29,-10.22
J6o,0,-1.69,-3.7,-13.59
J6s,0,-0.54,-2.15,-10.52
J7o,0,-1.61,-3.35,-12.7
J7s,0,-0.44,-1.75,-9.65
J8o,0,-1.43,-3.1,-12.19
J8s,0,-0.27,-1.61,-9.2
J9o,0,-1.33,-3.08,-12.2
J9s,0,-0.12,-1.52,-9.2
JJ,0,0.25,-0.04,-5.91
JTo,0,-1.28,-3.18,-12.06
JTs,0,0,-1.54,-8.93
K2o,0,-1.48,-1.92,-7.12
K2s,0,-0.22,-0.43,-4.3
K3o,0,-1.44,-1.99,-6.89
K3s,0,-0.17,-0.46,-4.05
K4o,0,-1.46,-1.99,-6.63
K4s,0,-0.17,-0.39,-3.82
K5o,0,-1.43,-1.94,-6.36
K5s,0,-0.14,-0.43,-3.62
K6o,0,-1.25,-1.6,-6.34
K6s,0,0,-0.07,-3.6
K7o,0,-1.4,-1.68,-6.58
K7s,0,-0.07,-0.18,-3.78
K8o,0,-1.47,-1.69,-6.62
K8s,0,-0.23,-0.22,-3.94
K9o,0,-1.7,-1.92,-6.57
K9s,0,-0.41,-0.42,-3.85
KJo,0,-1.37,-2.18,-7.22
KJs,0,-0.01,-0.58,-4.28
KK,0,15.92,23.61,24.96
KQo,0,-0.82,-0.44,-2.09
KQs,0,0.57,1.03,0.45
KTo,0,-1.35,-1.72,-6.18
KTs,0,-0.03,-0.09,-3.35
Q2o,0,-1.73,-2.21,-8.52
Q2s,0,-0.5,-0.86,-5.89
Q3o,0,-1.74,-2.27,-8.41
Q3s,0,-0.51,-0.9,-5.68
Q4o,0,-1.69,-2.21,-8.11
Q4s,0,-0.44,-0.81,-5.48
Q5o,0,-1.66,-2.12,-7.92
Q5s,0,-0.37,-0.71,-5.26
Q6o,0,-1.49,-1.79,-7.9
Q6s,0,-0.21,-0.39,-5.25
Q7o,0,-1.63,-2.04,-8.21
Q7s,0,-0.34,-0.66,-5.58
Q8o,0,-1.64,-1.75,-7.55
Q8s,0,-0.35,-0.37,-4.95
Q9o,0,-1.63,-1.82,-7.25
Q9s,0,-0.33,-0.41,-4.63
QJo,0,-1.37,-2.12,-7.72
QJs,0,-0.01,-0.61,-4.92
QQ,0,6.87,6.98,6.93
QTo,0,-1.36,-1.59,-6.69
QTs,0,-0.01,-0.11,-3.97
T2o,0,-1.68,-3.18,-12.69
T2s,0,-0.66,-1.75,-9.76
T3o,0,-1.66,-3.18,-12.38
T3s,0,-0.57,-1.72,-9.44
T4o,0,-1.67,-3.25,-12.11
T4s,0,-0.6,-1.75,-9.21
T5o,0,-1.75,-3.47,-12.16
T5s,0,-0.64,-1.91,-9.23
T6o,0,-1.45,-2.72,-11.16
T6s,0,-0.34,-1.2,-8.3
T7o,0,-1.28,-2.37,-10.38
T7s,0,-0.1,-0.87,-7.52
T8o,0,-1.2,-2.13,-9.95
T8s,0,0,-0.67,-7.16
T9o,0,-1.2,-2.06,-9.88
T9s,0,0,-0.54,-7.04
TT,0,0.11,0.08,-5.15
