Hand,Fold,Call,Raise3,Allin50
22,0,16,84,0
32o,100,0,0,0
32s,100,0,0,0
33,0,16.5,83.5,0
42o,100,0,0,0
42s,100,0,0,0
43o,100,0,0,0
43s,100,0,0,0
44,0,8.5,91.5,0
52o,100,0,0,0
52s,100,0,0,0
53o,100,0,0,0
53s,90,8,2,0
54o,100,0,0,0
54s,0,4,96,0
55,0,7,93,0
62o,100,0,0,0
62s,100,0,0,0
63o,100,0,0,0
63s,100,0,0,0
64o,100,0,0,0
64s,0,15,85,0
65o,100,0,0,0
65s,0,6,94,0
66,0,8.5,91.5,0
72o,100,0,0,0
72s,100,0,0,0
73o,100,0,0,0
73s,100,0,0,0
74o,100,0,0,0
74s,55.7,12.6,31.7,0
75o,100,0,0,0
75s,0,4,96,0
76o,97,3,0,0
76s,0,1,99,0
77,0,8.5,91.5,0
82o,100,0,0,0
82s,100,0,0,0
83o,100,0,0,0
83s,100,0,0,0
84o,100,0,0,0
84s,100,0,0,0
85o,100,0,0,0
85s,0,1.5,98.5,0
86o,100,0,0,0
86s,0,6,94,0
87o,80.6,7,12.4,0
87s,0,2.5,97.5,0
88,0,10,90,0
92o,100,0,0,0
92s,100,0,0,0
93o,100,0,0,0
93s,100,0,0,0
94o,100,0,0,0
94s,100,0,0,0
95o,100,0,0,0
95s,28,21.5,50.5,0
96o,100,0,0,0
96s,0,3.5,96.5,0
97o,99.5,0.5,0,0
97s,0,3,97,0
98o,0,10.5,89.5,0
98s,0,13.5,86.5,0
99,0,1.5,98.5,0
A2o,91.5,8.5,0,0
A2s,0,12.5,87.5,0
A3o,0,15.5,84.5,0
A3s,0,11.5,88.5,0
A4o,0,9,91,0
A4s,0,9,91,0
A5o,0,5,95,0
A5s,0,7,93,0
A6o,0,2.5,97.5,0
A6s,0,16.5,83.5,0
A7o,0,3.5,96.5,0
A7s,0,6.5,93.5,0
A8o,0,1.5,98.5,0
A8s,0,0,100,0
A9o,0,4,96,0
A9s,0,0,100,0
AA,0,3.5,96.5,0
AJo,0,3,97,0
AJs,0,0,100,0
AKo,0,5.5,94.5,0
AKs,0,0,100,0
AQo,0,1.5,98.5,0
AQs,0,6.5,93.5,0
ATo,0,2.5,97.5,0
ATs,0,0,100,0
J2o,100,0,0,0
J2s,93,7,0,0
J3o,100,0,0,0
J3s,0,28.5,71.5,0
J4o,100,0,0,0
J4s,0,15,85,0
J5o,100,0,0,0
J5s,0,5,95,0
J6o,100,0,0,0
J6s,0,3,97,0
J7o,100,0,0,0
J7s,0,2,98,0
J8o,13,9.5,77.5,0
J8s,0,8.5,91.5,0
J9o,0,8,92,0
J9s,0,7.5,92.5,0
JJ,0,4,96,0
JTo,0,8.5,91.5,0
JTs,0,0,100,0
K2o,100,0,0,0
K2s,0,5,95,0
K3o,100,0,0,0
K3s,0,5,95,0
K4o,100,0,0,0
K4s,0,7.5,92.5,0
K5o,100,0,0,0
K5s,0,7.5,92.5,0
K6o,91,9,0,0
K6s,0,3,97,0
K7o,58,15.5,26.5,0
K7s,0,11.5,88.5,0
K8o,0,9.5,90.5,0
K8s,0,5,95,0
K9o,0,5.5,94.5,0
K9s,0,2.5,97.5,0
KJo,0,5,95,0
KJs,0,0,100,0
KK,0,4.5,95.5,0
KQo,0,2.5,97.5,0
KQs,0,0,100,0
KTo,0,7.5,92.5,0
KTs,0,0,100,0
Q2o,100,0,0,0
Q2s,0,19.5,80.5,0
Q3o,100,0,0,0
Q3s,0,2.5,97.5,0
Q4o,100,0,0,0
Q4s,0,5,95,0
Q5o,100,0,0,0
Q5s,0,6.5,93.5,0
Q6o,100,0,0,0
Q6s,0,5,95,0
Q7o,100,0,0,0
Q7s,0,6,94,0
Q8o,24.9,12.9,62.2,0
Q8s,0,10.5,89.5,0
Q9o,0,9,91,0
Q9s,0,8,92,0
QJo,0,8,92,0
QJs,0,0,100,0
QQ,0,5,95,0
QTo,0,9,91,0
QTs,0,0,100,0
T2o,100,0,0,0
T2s,100,0,0,0
T3o,100,0,0,0
T3s,100,0,0,0
T4o,100,0,0,0
T4s,91.5,8.5,0,0
T5o,100,0,0,0
T5s,0,31.5,68.5,0
T6o,100,0,0,0
T6s,0,1.5,98.5,0
T7o,100,0,0,0
T7s,0,4.5,95.5,0
T8o,1,10.5,88.5,0
T8s,0,10.5,89.5,0
T9o,0,9,91,0
T9s,0,8,92,0
TT,0,2.5,97.5,0
