Hand,Fold,Raise6,Allin50
22,0,-0.15,-1.15
32o,0,-0.28,-3.22
32s,0,-0.25,-2.29
33,0,-0.09,-1.01
42o,0,-0.28,-3.12
42s,0,-0.25,-2.19
43o,0,-0.27,-2.73
43s,0,-0.18,-1.83
44,0,-0.03,-0.88
52o,0,-0.29,-3.05
52s,0,-0.26,-2.13
53o,0,-0.27,-2.66
53s,0,-0.15,-1.76
54o,0,-0.27,-2.28
54s,0,-0.02,-1.4
55,0,-0.03,-0.79
62o,0,-0.28,-3.37
62s,0,-0.25,-2.43
63o,0,-0.26,-2.98
63s,0,-0.23,-2.05
64o,0,-0.25,-2.59
64s,0,-0.11,-1.69
65o,0,-0.26,-2.25
65s,0,0,-1.37
66,0,0,-0.75
72o,0,-0.3,-3.7
72s,0,-0.27,-2.74
73o,0,-0.28,-3.31
73s,0,-0.25,-2.37
74o,0,-0.27,-2.92
74s,0,-0.23,-2
75o,0,-0.27,-2.57
75s,0,-0.14,-1.67
76o,0,-0.24,-2.3
76s,0,0,-1.42
77,0,0,-0.7
82o,0,-0.29,-3.67
82s,0,-0.26,-2.71
83o,0,-0.29,-3.66
83s,0,-0.26,-2.7
84o,0,-0.28,-3.27
84s,0,-0.25,-2.33
85o,0,-0.28,-2.92
85s,0,-0.24,-2
86o,0,-0.25,-2.64
86s,0,-0.11,-1.73
87o,0,-0.25,-2.41
87s,0,-0.04,-1.51
88,0,0,-0.66
92o,0,-0.3,-3.68
92s,0,-0.27,-2.71
93o,0,-0.29,-3.57
93s,0,-0.26,-2.62
94o,0,-0.29,-3.56
94s,0,-0.26,-2.61
95o,0,-0.3,-3.22
95s,0,-0.27,-2.28
96o,0,-0.26,-2.92
96s,0,-0.21,-2
97o,0,-0.26,-2.67
97s,0,-0.12,-1.76
98o,0,-0.25,-2.61
98s,0,-0.07,-1.7
99,0,0,-0.49
A2o,0,-0.06,-1.82
A2s,0,-0.01,-0.96
A3o,0,-0.06,-1.72
A3s,0,0,-0.86
A4o,0,-0.06,-1.63
A4s,0,0,-0.78
A5o,0,-0.07,-1.57
A5s,0,0.01,-0.72
A6o,0,-0.05,-1.9
A6s,0,0,-1.03
A7o,0,-0.05,-1.83
A7s,0,0,-0.97
A8o,0,-0.05,-1.87
A8s,0,0,-1
A9o,0,-0.04,-1.86
A9s,0,0,-1
AA,0,11.47,9.02
AJo,0,0.03,-1.5
AJs,0,0.11,-0.67
AKo,0,1.9,1.31
AKs,0,2.56,1.88
AQo,0,0.15,-0.94
AQs,0,0.57,-0.17
ATo,0,0,-1.65
ATs,0,0.01,-0.8
J2o,0,-0.24,-3.58
J2s,0,-0.2,-2.61
J3o,0,-0.23,-3.48
J3s,0,-0.19,-2.52
J4o,0,-0.23,-3.38
J4s,0,-0.19,-2.43
J5o,0,-0.24,-3.32
J5s,0,-0.21,-2.37
J6o,0,-0.22,-3.39
J6s,0,-0.18,-2.43
J7o,0,-0.22,-3.12
J7s,0,-0.18,-2.17
J8o,0,-0.21,-2.9
J8s,0,-0.17,-1.97
J9o,0,-0.2,-2.69
J9s,0,-0.14,-1.77
JJ,0,2.37,0.68
JTo,0,-0.15,-2.45
JTs,0,-0.07,-1.54
K2o,0,-0.09,-2.72
K2s,0,-0.04,-1.81
K3o,0,-0.08,-2.62
K3s,0,-0.04,-1.73
K4o,0,-0.08,-2.52
K4s,0,-0.04,-1.64
K5o,0,-0.09,-2.46
K5s,0,-0.04,-1.58
K6o,0,-0.06,-2.44
K6s,0,-0.01,-1.56
K7o,0,-0.07,-2.44
K7s,0,-0.02,-1.55
K8o,0,-0.07,-2.5
K8s,0,-0.02,-1.61
K9o,0,-0.07,-2.38
K9s,0,-0.02,-1.5
KJo,0,0,-1.94
KJs,0,0.02,-1.1
KK,0,7.72,5.2
KQo,0,0.09,-1.47
KQs,0,0.1,-0.67
KTo,0,-0.01,-2.06
KTs,0,0,-1.21
Q2o,0,-0.15,-3.09
Q2s,0,-0.11,-2.15
Q3o,0,-0.15,-2.99
Q3s,0,-0.11,-2.06
Q4o,0,-0.14,-2.9
Q4s,0,-0.1,-1.97
Q5o,0,-0.15,-2.84
Q5s,0,-0.12,-1.92
Q6o,0,-0.13,-2.83
Q6s,0,-0.1,-1.9
Q7o,0,-0.14,-2.88
Q7s,0,-0.1,-1.96
Q8o,0,-0.13,-2.67
Q8s,0,-0.09,-1.75
Q9o,0,-0.13,-2.45
Q9s,0,-0.08,-1.54
QJo,0,-0.05,-2.05
QJs,0,-0.01,-1.17
QQ,0,4.47,2.35
QTo,0,-0.07,-2.17
QTs,0,-0.03,-1.28
T2o,0,-0.27,-3.69
T2s,0,-0.23,-2.72
T3o,0,-0.26,-3.59
T3s,0,-0.23,-2.62
T4o,0,-0.26,-3.49
T4s,0,-0.22,-2.54
T5o,0,-0.28,-3.51
T5s,0,-0.24,-2.55
T6o,0,-0.24,-3.22
T6s,0,-0.21,-2.28
T7o,0,-0.24,-2.94
T7s,0,-0.2,-2.02
T8o,0,-0.23,-2.74
T8s,0,-0.15,-1.82
T9o,0,-0.22,-2.52
T9s,0,-0.07,-1.62
TT,0,0.77,-0.01
